number,title,author,created_at,merged_at,additions,deletions,changed_files,commits,comments,review_comments,num_files,label,matched_fix,author_past_prs,author_past_bugs,author_past_bug_rate,is_first_pr
4394,Add documentation for available status codes,zaneb,2017-11-21 21:31:13+00:00,2017-11-23 20:19:13+00:00,34,16,2,2,1,0,2,0,,0,0.0,0.0,1
4442,Reduce overall memory usage by removing cgi dependency and writing a protected function,DemetriosBairaktaris,2017-12-31 21:15:20+00:00,2018-01-04 22:32:40+00:00,67,3,3,10,6,14,3,1,fix,0,0.0,0.0,1
4451,Prefer https over http for links in the documentation,jdufresne,2018-01-06 19:25:15+00:00,2018-01-06 23:23:00+00:00,20,20,9,1,1,0,9,1,fix,0,0.0,0.0,1
4460,Remove unsupported Python 3.3 from tox.ini,jdufresne,2018-01-11 02:38:08+00:00,2018-01-11 14:41:08+00:00,2,2,1,1,1,0,1,0,,1,1.0,1.0,0
4459,Pass python_requires argument to setuptools,jdufresne,2018-01-11 02:34:04+00:00,2018-01-13 04:06:59+00:00,1,0,1,1,6,0,1,0,,2,1.0,0.5,0
4468,Simple fix for the issue #2392,VasiliPupkin256,2018-01-13 00:42:07+00:00,2018-01-14 01:13:30+00:00,6,2,2,2,6,0,2,0,,0,0.0,0.0,1
4427,Use hostname not netloc,ddormer,2017-12-12 15:08:10+00:00,2018-01-16 14:07:26+00:00,37,11,4,1,4,1,4,1,fix,0,0.0,0.0,1
4439,Fix broken link to Certifi,nkonin,2017-12-28 09:17:44+00:00,2018-01-21 14:36:32+00:00,1,1,1,2,2,1,1,0,,0,0.0,0.0,1
4452,append previous url fragment on redirect,nateprewitt,2018-01-07 21:28:31+00:00,2018-01-21 18:41:47+00:00,86,1,3,1,4,8,3,0,,0,0.0,0.0,1
4496,"Pass kwargs from adapter send call to add_headers, per documentation",jonblum,2018-02-02 18:21:57+00:00,2018-02-03 13:40:45+00:00,1,1,1,1,2,0,1,0,,0,0.0,0.0,1
4493,Start testing 3.7,nateprewitt,2018-02-01 08:40:50+00:00,2018-02-03 14:43:31+00:00,1,1,1,2,1,0,1,0,,1,0.0,0.0,0
4498,Trim trialing white space throughout the project,jdufresne,2018-02-04 19:57:42+00:00,2018-02-05 16:37:19+00:00,7,16,8,1,3,0,8,1,fix,3,1.0,0.3333333333333333,0
4507,Minor,ss18,2018-02-07 18:38:39+00:00,2018-02-08 00:25:23+00:00,2,2,2,2,2,1,2,0,,0,0.0,0.0,1
4497,Clarify docs that Requests always uses certs from certifi,jdufresne,2018-02-03 00:01:39+00:00,2018-02-16 01:56:01+00:00,8,9,1,1,5,4,1,1,Merge pull request #4625 from nicktimko/patch-1,4,2.0,0.5,0
4499,"Remove remaining references to removed, vendored packages",jdufresne,2018-02-05 02:50:07+00:00,2018-02-17 14:15:55+00:00,12,13,5,1,2,0,5,1,Merge branch 'master' into patch-1,5,3.0,0.6,0
